Inventory_ID,Snapshot_Date,Product_ID,Warehouse_ID,Opening_Stock,Purchases_Qty,Sales_Qty,Returns_Qty,Closing_Stock,Stock_Value,Stockout_Days
INVSTK-P0001-WH-BLR,2026-08-31,P0001,WH-BLR,26,76,93,14,23,402067.83,2
INVSTK-P0001-WH-CHE,2026-08-31,P0001,WH-CHE,109,166,94,9,190,3321429.91,2
INVSTK-P0001-WH-HYD,2026-08-31,P0001,WH-HYD,82,131,168,13,58,1013910.18,6
INVSTK-P0001-WH-DEL,2026-08-31,P0001,WH-DEL,229,177,26,3,383,6695303.46,6
INVSTK-P0001-WH-KOL,2026-08-31,P0001,WH-KOL,0,137,29,0,108,1887970.69,7
INVSTK-P0002-WH-BLR,2026-08-31,P0002,WH-BLR,76,170,86,5,165,700105.7,5
INVSTK-P0002-WH-CHE,2026-08-31,P0002,WH-CHE,77,163,215,17,42,178208.72,6
INVSTK-P0002-WH-MUM,2026-08-31,P0002,WH-MUM,237,135,92,10,290,1230488.81,1
INVSTK-P0002-WH-KOL,2026-08-31,P0002,WH-KOL,235,4,220,6,25,106076.62,0
INVSTK-P0003-WH-BLR,2026-08-31,P0003,WH-BLR,102,175,29,11,259,442052.8,4
INVSTK-P0003-WH-CHE,2026-08-31,P0003,WH-CHE,122,23,15,10,140,238947.46,7
INVSTK-P0003-WH-HYD,2026-08-31,P0003,WH-HYD,137,119,15,7,248,423278.36,7
INVSTK-P0003-WH-DEL,2026-08-31,P0003,WH-DEL,232,149,79,20,322,549579.16,2
INVSTK-P0003-WH-KOL,2026-08-31,P0003,WH-KOL,232,177,116,2,295,503496.43,0
INVSTK-P0004-WH-CHE,2026-08-31,P0004,WH-CHE,234,2,111,6,131,3168601.16,2
INVSTK-P0004-WH-HYD,2026-08-31,P0004,WH-HYD,142,179,191,15,145,3507230.29,8
INVSTK-P0004-WH-DEL,2026-08-31,P0004,WH-DEL,182,171,86,13,280,6772582.63,0
INVSTK-P0004-WH-KOL,2026-08-31,P0004,WH-KOL,100,146,162,10,94,2273652.74,5
INVSTK-P0005-WH-BLR,2026-08-31,P0005,WH-BLR,166,151,145,3,175,1998231.12,5
INVSTK-P0005-WH-CHE,2026-08-31,P0005,WH-CHE,45,68,46,15,82,936314.01,5
INVSTK-P0005-WH-HYD,2026-08-31,P0005,WH-HYD,170,15,155,0,30,342553.91,1
INVSTK-P0005-WH-MUM,2026-08-31,P0005,WH-MUM,96,163,26,10,243,2774686.63,3
INVSTK-P0005-WH-DEL,2026-08-31,P0005,WH-DEL,228,160,174,12,226,2580572.75,4
INVSTK-P0006-WH-BLR,2026-08-31,P0006,WH-BLR,42,56,3,0,95,1896578.42,3
INVSTK-P0006-WH-HYD,2026-08-31,P0006,WH-HYD,221,11,134,5,103,2056290.28,3
INVSTK-P0006-WH-DEL,2026-08-31,P0006,WH-DEL,131,136,191,16,92,1836686.47,8
INVSTK-P0006-WH-KOL,2026-08-31,P0006,WH-KOL,186,58,17,2,229,4571752.19,4
INVSTK-P0007-WH-BLR,2026-08-31,P0007,WH-BLR,151,103,50,16,220,3702885.25,6
INVSTK-P0007-WH-CHE,2026-08-31,P0007,WH-CHE,126,104,138,8,100,1683129.66,4
INVSTK-P0007-WH-MUM,2026-08-31,P0007,WH-MUM,223,152,202,2,175,2945476.9,7
INVSTK-P0007-WH-DEL,2026-08-31,P0007,WH-DEL,195,13,97,4,115,1935599.11,2
INVSTK-P0007-WH-KOL,2026-08-31,P0007,WH-KOL,160,28,127,17,78,1312841.13,4
INVSTK-P0008-WH-CHE,2026-08-31,P0008,WH-CHE,38,3,1,6,46,1011850.64,0
INVSTK-P0008-WH-HYD,2026-08-31,P0008,WH-HYD,40,159,29,10,180,3959415.54,4
