Invoice_ID,Order_ID,Invoice_Date,Due_Date,Net_Amount,Tax_Amount,Invoice_Amount,Invoice_Status
INV000001,O000154,2026-04-27,2026-06-11,146923.54,26446.24,173369.78,Partially Paid
INV000002,O000093,2025-09-29,2025-10-29,81542.06,14677.57,96219.64,Partially Paid
INV000003,O001200,2026-01-22,2026-03-23,485547.28,87398.51,572945.79,Open
INV000004,O002922,2026-08-17,2026-10-16,171817.08,30927.07,202744.15,Partially Paid
INV000005,O001689,2025-01-24,2025-02-08,11270.49,2028.69,13299.18,Paid
INV000006,O001044,2026-04-11,2026-05-11,111922.21,20146,132068.21,Paid
INV000007,O001470,2025-10-24,2025-11-08,61724.22,11110.36,72834.58,Paid
INV000008,O001032,2025-01-01,2025-01-16,85178.49,15332.13,100510.62,Open
INV000009,O002553,2025-09-27,2025-11-26,71593.25,12886.79,84480.04,Partially Paid
INV000010,O001893,2025-11-29,2025-12-14,157434.02,28338.12,185772.15,Paid
INV000011,O001578,2025-05-28,2025-07-12,358372.94,64507.13,422880.07,Paid
INV000012,O002165,2026-07-16,2026-09-14,42633.61,7674.05,50307.65,Open
INV000013,O000865,2025-11-07,2026-01-06,334720.19,60249.63,394969.83,Partially Paid
INV000014,O001212,2026-01-25,2026-02-09,117387.24,21129.7,138516.94,Partially Paid
INV000015,O002194,2025-09-09,2025-10-09,42906.33,7723.14,50629.47,Partially Paid
INV000017,O001438,2025-10-08,2025-12-07,112518.39,20253.31,132771.7,Paid
INV000018,O000698,2026-08-05,2026-10-04,89158.13,16048.46,105206.59,Paid
INV000019,O001480,2025-12-03,2025-12-18,286379.33,51548.28,337927.61,Open
INV000020,O001665,2025-09-09,2025-10-09,185754.85,33435.87,219190.72,Open
INV000021,O000078,2025-02-07,2025-04-08,205517.3,36993.11,242510.42,Paid
INV000022,O001156,2025-09-14,2025-11-13,42052.77,7569.5,49622.27,Open
INV000023,O002260,2026-04-25,2026-05-10,20449.1,3680.84,24129.94,Partially Paid
INV000024,O002380,2025-05-10,2025-07-09,99957.94,17992.43,117950.37,Partially Paid
INV000025,O002479,2025-07-11,2025-08-25,387307.35,69715.32,457022.68,Paid
INV000026,O000582,2025-04-26,2025-05-26,205240.56,36943.3,242183.86,Partially Paid
INV000027,O002979,2026-02-03,2026-04-04,298920.22,53805.64,352725.86,Open
INV000028,O001624,2025-01-17,2025-03-18,42807.85,7705.41,50513.27,Open
INV000029,O001741,2026-05-08,2026-06-22,135853.86,24453.69,160307.56,Partially Paid
INV000030,O000552,2025-01-12,2025-02-11,432404.73,77832.85,510237.58,Paid
INV000031,O001296,2026-04-21,2026-06-20,76451.03,13761.19,90212.21,Partially Paid
INV000033,O001729,2025-10-01,2025-11-15,142667.84,25680.21,168348.05,Open
INV000034,O000248,2025-09-15,2025-09-30,20421.08,3675.79,24096.88,Partially Paid
INV000035,O000341,2026-07-20,2026-09-18,48327.36,8698.93,57026.29,Open
INV000036,O000789,2026-08-06,2026-10-05,77386.38,13929.55,91315.93,Open
INV000037,O002173,2025-06-29,2025-08-28,14476.03,2605.68,17081.71,Open
INV000038,O000162,2026-03-04,2026-03-19,12602.1,2268.38,14870.47,Partially Paid
INV000039,O002854,2025-10-24,2025-12-08,267265.14,48107.73,315372.86,Paid
INV000040,O001928,2025-11-07,2026-01-06,289516.39,52112.95,341629.33,Open
INV000041,O002468,2025-01-16,2025-03-17,205177.23,36931.9,242109.13,Partially Paid
INV000042,O001358,2026-02-25,2026-03-27,554892.27,99880.61,654772.88,Partially Paid
INV000043,O000325,2026-04-18,2026-05-03,216948.11,39050.66,255998.77,Partially Paid
INV000044,O000366,2026-02-21,2026-03-23,133022.88,23944.12,156967,Partially Paid
INV000045,O002078,2025-03-14,2025-05-13,136758.98,24616.62,161375.59,Partially Paid
INV000046,O000460,2025-05-20,2025-07-04,310869.36,55956.48,366825.84,Open
INV000047,O000699,2025-06-04,2025-06-19,278087.24,50055.7,328142.95,Open
