Campaign_ID,Campaign_Month,Channel,Campaign_Spend,Leads,Conversions,Revenue,Region_ID,Campaign_Type
CAM0001,2026-04-01,Google,13017,2241,382,26963.02,R001,Retargeting
CAM0002,2026-08-01,Other,86104,3311,453,100643.61,R001,Retargeting
CAM0003,2026-02-01,Other,55426,2093,416,148224.07,R008,Lead Gen
CAM0004,2026-01-01,Referral,95354,3817,672,402750.44,R006,Retargeting
CAM0005,2026-01-01,Social Media,95561,2307,464,166372.53,R005,Seasonal
CAM0006,2026-01-01,Other,121416,2566,300,326075.75,R001,Retargeting
CAM0007,2026-01-01,Other,213683,5324,832,420395.56,R004,Lead Gen
CAM0008,2026-03-01,Referral,29566,2822,527,40189.64,R001,Seasonal
CAM0009,2026-05-01,Email,185902,921,93,295345.01,R004,Retargeting
CAM0010,2026-05-01,Referral,70217,4385,896,274589.49,R006,Retargeting
CAM0012,2026-01-01,Other,106280,3936,741,528247.1,R004,Retargeting
CAM0013,2026-05-01,Other,79432,2923,202,102788.43,R005,Seasonal
CAM0014,2026-06-01,Google,130358,469,63,173568.89,R003,Brand
CAM0015,2026-03-01,Other,164155,346,20,709088.6,R002,Lead Gen
CAM0016,2026-06-01,Email,211671,4545,675,244469.32,R004,Brand
CAM0017,2026-01-01,Other,197460,1995,99,744589.6,R005,Lead Gen
CAM0018,2026-07-01,Other,209665,2554,372,1027341.5,R005,Retargeting
CAM0019,2026-07-01,Referral,183253,5581,819,705495.8,R005,Lead Gen
CAM0020,2026-06-01,Email,137213,5122,1009,254926.4,R008,Brand
CAM0021,2026-08-01,Other,101637,858,187,195767.77,R008,Retargeting
CAM0022,2026-05-01,Social Media,97098,428,58,89666.79,R001,Brand
CAM0023,2026-06-01,Other,54448,1232,154,127437.39,R001,Lead Gen
CAM0024,2026-08-01,Email,36425,3072,151,187082.6,R007,Lead Gen
CAM0025,2026-07-01,Referral,236447,4399,803,193424.27,R001,Retargeting
CAM0027,2026-01-01,Social Media,131379,3545,471,657903.06,R004,Seasonal
CAM0028,2026-03-01,Other,58886,1456,179,235449.7,R008,Lead Gen
CAM0029,2026-07-01,Social Media,161790,4035,96,722908.74,R008,Retargeting
CAM0030,2026-02-01,Other,65760,3083,155,219527.43,R006,Brand
CAM0031,2026-07-01,Referral,103284,4988,851,514544.95,R006,Brand
CAM0032,2026-06-01,Google,66176,4840,775,139677.14,R008,Brand
CAM0033,2026-08-01,Email,26276,5956,359,53943.6,R006,Lead Gen
CAM0034,2026-05-01,Other,28122,4861,183,134618.22,R005,Retargeting
CAM0035,2026-03-01,Other,173793,3807,80,571143.45,R003,Brand
CAM0036,2026-01-01,Referral,145946,3421,592,251416.55,R007,Lead Gen
CAM0037,2026-04-01,Google,195101,984,61,563930.59,R007,Retargeting
CAM0038,2026-02-01,Social Media,102637,3358,522,511543.77,R006,Seasonal
CAM0039,2026-08-01,Other,70356,2818,426,187482.28,R001,Brand
CAM0040,2026-05-01,Google,142268,5172,1129,432708.52,R006,Retargeting
CAM0041,2026-05-01,Other,31859,991,133,65924.73,R008,Retargeting
CAM0042,2026-04-01,Referral,196225,2050,247,985112.08,R004,Lead Gen
CAM0044,2026-01-01,Google,140202,1339,192,268142.3,R007,Lead Gen
CAM0045,2026-03-01,Other,208150,889,195,283277.33,R001,Seasonal
CAM0046,2026-05-01,Other,63910,3884,546,306007.5,R007,Lead Gen
CAM0047,2026-01-01,Referral,75749,3459,243,242146.41,R003,Seasonal
CAM0048,2026-08-01,Other,70617,2740,505,233282.16,R007,Retargeting
CAM0049,2026-03-01,Other,64969,5768,531,105057.07,R001,Seasonal
CAM0050,2026-08-01,Social Media,129280,3814,728,609587.08,R003,Lead Gen
CAM0051,2026-02-01,Other,50202,4964,619,111146.64,R003,Lead Gen
CAM0052,2026-02-01,Google,108512,3153,615,512531.23,R006,Brand
