Order_ID,Order_Date,Customer_ID,Employee_ID,Region_ID,Order_Status,Order_Channel
O000001,2026-06-11,C00297,E0020,R001,Delivered,Direct Sales
O000002,2026-07-11,C00097,E0040,R005,Delivered,Marketplace
O000003,2025-04-09,C00309,E0019,R002,Processing,Marketplace
O000004,2026-06-15,C00148,E0001,R002,Delivered,Marketplace
O000005,2025-06-16,C00497,E0028,R006,Delivered,Direct Sales
O000006,2025-07-12,C00159,E0034,R001,Processing,Online
O000007,2025-04-30,C00428,E0031,R001,Delivered,Online
O000008,2026-01-07,C00492,E0024,R002,Delivered,Distributor
O000009,2025-11-08,C00536,E0023,R004,Delivered,Online
O000010,2025-08-21,C00228,E0010,R004,Delivered,Direct Sales
O000011,2026-03-12,C00215,E0010,R004,Delivered,Online
O000012,2025-02-13,C00020,E0032,R001,Delivered,Online
O000013,2026-04-26,C00034,E0034,R001,Delivered,Marketplace
O000014,2025-01-11,C00045,E0005,R005,Delivered,Online
O000015,2025-07-09,C00211,E0039,R005,Delivered,Online
O000016,2026-08-17,C00093,E0011,R008,Delivered,Marketplace
O000017,2026-06-02,C00165,E0034,R001,Cancelled,Online
O000018,2026-06-26,C00102,E0039,R005,Delivered,Direct Sales
O000019,2025-04-12,C00289,E0012,R004,Delivered,Distributor
O000020,2026-03-27,C00376,E0039,R005,Delivered,Direct Sales
O000021,2025-08-08,C00364,E0026,R006,Processing,Direct Sales
O000022,2025-05-07,C00418,E0009,R002,Shipped,Online
O000024,2025-04-29,C00085,E0022,R003,Delivered,Marketplace
O000025,2026-03-31,C00468,E0040,R005,Delivered,Distributor
O000026,2025-03-13,C00298,E0029,R006,Shipped,Marketplace
O000027,2025-04-18,C00184,E0001,R002,Delivered,Distributor
O000028,2025-05-27,C00536,E0006,R002,Delivered,Distributor
O000029,2026-01-08,C00105,E0012,R004,Delivered,Marketplace
O000030,2025-05-06,C00206,E0040,R005,Delivered,Distributor
O000031,2026-02-14,C00512,E0019,R002,Delivered,Distributor
O000032,2025-05-31,C00415,E0033,R008,Shipped,Online
O000033,2026-05-25,C00126,E0018,R003,Delivered,Direct Sales
O000034,2025-03-11,C00031,E0007,R002,Shipped,Online
O000035,2025-06-06,C00184,E0026,R006,Delivered,Online
O000036,2026-04-23,C00079,E0035,R002,Delivered,Marketplace
O000037,2026-07-10,C00510,E0033,R008,Delivered,Online
O000038,2026-01-28,C00033,E0029,R006,Shipped,Marketplace
O000039,2025-02-06,C00386,E0030,R003,Delivered,Direct Sales
O000040,2026-05-19,C00571,E0021,R001,Delivered,Direct Sales
O000041,2025-04-23,C00320,E0026,R006,Cancelled,Distributor
O000042,2026-05-03,C00568,E0036,R004,Processing,Direct Sales
O000043,2025-09-27,C00519,E0004,R008,Shipped,Distributor
O000044,2025-03-04,C00362,E0020,R001,Delivered,Online
O000045,2026-08-21,C00132,E0025,R004,Delivered,Marketplace
O000046,2025-12-20,C00390,E0007,R002,Delivered,Distributor
