Payment_ID,Invoice_ID,Payment_Date,Payment_Amount,Payment_Mode,Reference_No,Payment_Status
PAY000001,INV000318,2025-05-02,24024.62,Cheque,REF330603,Success
PAY000002,INV001699,2026-06-30,83432.76,Cheque,REF583124,Success
PAY000003,INV000792,2026-01-02,228713.6,Cheque,REF371203,Success
PAY000004,INV000970,2025-06-16,16292.57,Cheque,REF257989,Success
PAY000005,INV001412,2026-02-08,8486.97,Cheque,REF535114,Success
PAY000006,INV001491,2025-07-12,175427.11,UPI,REF496578,Success
PAY000007,INV000796,2026-03-26,163421.54,UPI,REF317571,Success
PAY000008,INV000660,2026-06-29,94503.1,Cheque,REF847546,Success
PAY000009,INV000190,2026-03-29,128873.5,Cheque,REF263517,Success
PAY000010,INV001370,2026-05-27,83323.19,UPI,REF240345,Success
PAY000011,INV000412,2026-08-21,27568.41,Cheque,REF299685,Success
PAY000012,INV001190,2026-02-16,213185.56,UPI,REF591951,Failed
PAY000013,INV000297,2026-05-24,41971.55,Credit Card,REF831217,Success
PAY000014,INV002579,2025-09-23,279274.33,Debit Card,REF872665,Success
PAY000015,INV002384,2025-03-24,28719.45,Bank Transfer,REF460524,Success
PAY000016,INV001684,2026-03-02,100327.73,UPI,REF609092,Success
PAY000017,INV000559,2025-08-22,319738.88,Credit Card,REF823480,Success
PAY000018,INV001100,2025-05-12,59565.86,Credit Card,REF499116,Success
PAY000019,INV002535,2026-07-01,63779.42,Bank Transfer,REF106097,Success
PAY000020,INV000535,2026-03-27,146093.54,Bank Transfer,REF342191,Success
PAY000022,INV002712,2025-07-31,85605.18,Credit Card,REF188577,Failed
PAY000023,INV002551,2025-04-09,178180.27,Bank Transfer,REF168617,Success
PAY000024,INV000282,2025-10-18,4183.65,Bank Transfer,REF563398,Success
PAY000025,INV002522,2025-06-28,33525.75,Bank Transfer,REF860673,Success
PAY000026,INV001728,2026-04-17,28202.45,Credit Card,REF231788,Success
PAY000027,INV002599,2026-04-21,53180.64,UPI,REF863043,Success
PAY000028,INV002043,2026-03-26,39993.59,Bank Transfer,REF178811,Success
PAY000029,INV000319,2026-01-12,15575.55,UPI,REF132383,Success
PAY000030,INV001608,2026-04-10,146895.97,Credit Card,REF294971,Success
PAY000031,INV001276,2026-05-08,16893.37,Debit Card,REF537884,Success
PAY000032,INV001641,2026-04-13,101777.28,UPI,REF309962,Success
PAY000033,INV002447,2025-07-08,37783.75,Bank Transfer,REF242036,Success
PAY000034,INV002169,2026-01-24,13291.73,Bank Transfer,REF873661,Failed
PAY000035,INV000034,2025-12-26,12247.02,Bank Transfer,REF290195,Success
PAY000037,INV002452,2026-07-27,23156.94,Debit Card,REF474234,Success
PAY000038,INV001938,2025-06-28,35225.25,Credit Card,REF323701,Failed
PAY000039,INV001444,2026-08-22,35946.4,Cheque,REF694352,Success
PAY000040,INV001050,2026-06-06,2869.45,UPI,REF274263,Success
PAY000041,INV001403,2026-07-30,44218.92,Debit Card,REF374345,Failed
PAY000042,INV000270,2026-06-12,564821.96,UPI,REF862387,Success
PAY000043,INV001087,2025-10-17,15637.96,Cheque,REF813766,Success
PAY000044,INV002286,2025-08-16,174981.81,Bank Transfer,REF774143,Success
PAY000045,INV001111,2025-05-06,122876.52,Credit Card,REF391960,Success
PAY000046,INV002735,2025-09-15,257311.95,Credit Card,REF650772,Success
PAY000047,INV002724,2026-10-28,283291.72,Credit Card,REF415845,Success
PAY000048,INV000330,2025-08-28,169186.2,UPI,REF759891,Success
PAY000049,INV001899,2025-06-04,156443.33,Cheque,REF197570,Success
PAY000050,INV000543,2025-02-03,20779.69,Debit Card,REF167334,Success
PAY000051,INV000832,2025-05-14,381684.34,Credit Card,REF345688,Success
PAY000052,INV000532,2026-05-03,474483.13,Credit Card,REF795337,Success
PAY000053,INV000473,2025-01-31,281537.1,Bank Transfer,REF868982,Failed
PAY000054,INV001441,2025-06-15,639376.19,Bank Transfer,REF451334,Failed
PAY000055,INV000458,2026-02-25,451584.53,Bank Transfer,REF979613,Success
PAY000056,INV001693,2026-06-15,243151.73,Bank Transfer,REF163201,Failed
PAY000057,INV001888,2026-08-19,36936.55,Cheque,REF741591,Success
PAY000058,INV001046,2025-06-04,54507.07,Bank Transfer,REF153339,Success
PAY000059,INV001408,2026-07-09,440673.17,Cheque,REF221375,Failed
PAY000060,INV000358,2026-01-09,148895.11,Cheque,REF299547,Success
PAY000061,INV000648,2025-10-07,62687.7,Cheque,REF963124,Success
PAY000062,INV002090,2026-01-07,141190.27,Credit Card,REF113794,Success
PAY000063,INV000968,2025-11-08,264356.16,Cheque,REF769581,Success
PAY000064,INV001392,2025-06-03,2293.41,Debit Card,REF634180,Success
PAY000065,INV001417,2026-06-15,4164.78,Credit Card,REF534644,Success
PAY000066,INV001887,2026-05-21,140567.54,Debit Card,REF906939,Success
PAY000067,INV000660,2026-07-21,91225.87,Debit Card,REF269928,Success
PAY000068,INV000726,2026-07-08,62614.82,Cheque,REF968432,Success
PAY000069,INV001250,2025-11-03,87496.26,Debit Card,REF965694,Success
PAY000070,INV000342,2025-09-30,326924.51,Credit Card,REF721564,Failed
PAY000071,INV001853,2025-05-04,225595.04,UPI,REF173074,Success
PAY000073,INV001317,2025-11-05,79650.68,UPI,REF193594,Success
PAY000074,INV002685,2025-09-03,68254.38,Cheque,REF820097,Success
PAY000075,INV002651,2026-08-26,43835.96,Cheque,REF204996,Success
PAY000076,INV000324,2025-01-28,153262.93,Credit Card,REF736106,Success
PAY000077,INV000230,2026-08-05,199591.78,Cheque,REF847102,Success
PAY000078,INV000098,2025-10-15,335709.1,Bank Transfer,REF785478,Success
PAY000079,INV000621,2026-02-21,10489.03,Credit Card,REF172447,Success
PAY000080,INV001748,2025-10-29,614388.26,Cheque,REF559976,Success
PAY000081,INV001655,2026-03-05,661450.91,Cheque,REF266623,Success
PAY000082,INV000675,2026-04-05,192059.73,Debit Card,REF403586,Success
PAY000083,INV000076,2026-10-13,18488.6,Debit Card,REF611431,Success
PAY000084,INV001343,2026-09-06,3569.36,Cheque,REF790594,Success
PAY000085,INV000759,2026-10-31,33672.93,Cheque,REF467041,Failed
PAY000086,INV000075,2025-02-23,34120.42,UPI,REF327946,Success
PAY000087,INV001362,2025-01-19,23703.9,UPI,REF269653,Success
PAY000088,INV000909,2026-03-13,24937.56,Debit Card,REF864265,Success
PAY000089,INV001593,2025-05-07,1060.57,Debit Card,REF164524,Success
PAY000090,INV001948,2026-01-01,12256.52,Debit Card,REF412939,Success
PAY000091,INV000094,2026-05-03,25865.08,Credit Card,REF640038,Success
PAY000092,INV000752,2025-10-08,128738.66,Credit Card,REF941023,Success
PAY000093,INV002023,2026-03-12,26972.7,Credit Card,REF493193,Success
PAY000094,INV000931,2026-06-27,3113.55,Cheque,REF980616,Success
PAY000095,INV001441,2025-05-19,635722.71,Debit Card,REF963812,Failed
PAY000096,INV001168,2025-02-11,227478.67,Credit Card,REF648254,Success
PAY000097,INV001605,2026-03-20,50323.56,Bank Transfer,REF687769,Success
PAY000098,INV001155,2026-04-14,128350.86,Bank Transfer,REF708142,Success
PAY000099,INV002180,2025-11-23,133116.95,Debit Card,REF506995,Success
PAY000100,INV002370,2025-04-10,9745.46,UPI,REF519342,Success
PAY000101,INV000738,2026-04-28,3887.33,Credit Card,REF869927,Success
PAY000102,INV000132,2025-04-05,15597.44,Bank Transfer,REF883080,Success
PAY000103,INV000423,2026-05-23,380719.49,UPI,REF553162,Success
PAY000104,INV002674,2025-05-30,40063.58,Bank Transfer,REF620724,Success
PAY000105,INV000571,2025-10-19,21141.76,Credit Card,REF155515,Success
PAY000106,INV002662,2026-11-14,34770.88,UPI,REF564044,Failed
PAY000107,INV002514,2025-06-21,54231.56,Debit Card,REF596695,Success
PAY000108,INV002100,2026-07-23,380882.27,Credit Card,REF632485,Success
PAY000109,INV002400,2025-04-05,88184.38,Cheque,REF125929,Success
PAY000110,INV001087,2025-12-02,9496.19,Credit Card,REF683144,Success
PAY000111,INV002142,2026-04-13,6718.57,Credit Card,REF209837,Success
PAY000112,INV002046,2026-03-16,581805.15,UPI,REF812909,Success
PAY000113,INV002123,2025-11-09,90182.04,Cheque,REF896286,Success
PAY000114,INV000318,2025-05-16,23600.88,Cheque,REF717384,Success
PAY000115,INV000549,2025-05-22,147192.22,Bank Transfer,REF578259,Failed
PAY000116,INV000139,2025-10-24,257007.68,Cheque,REF648928,Success
PAY000117,INV000057,2025-08-13,126084.16,Debit Card,REF823122,Success
PAY000118,INV000942,2026-05-03,49274.23,Cheque,REF424918,Success
PAY000119,INV002627,2025-08-18,190772.22,UPI,REF429719,Failed
PAY000120,INV000762,2026-09-14,39159.47,Cheque,REF416647,Success
PAY000121,INV001914,2025-08-22,146704.84,Debit Card,REF961317,Success
PAY000122,INV001140,2025-04-07,10633.4,Bank Transfer,REF916435,Success
PAY000123,INV001147,2026-08-22,164563.51,Debit Card,REF900400,Success
PAY000124,INV002277,2025-10-10,26288.14,Bank Transfer,REF817089,Success
PAY000125,INV000416,2026-07-12,109414.43,Debit Card,REF171370,Success
