Product_ID,Product_Name,Category,Subcategory,Supplier_ID,Unit_Cost,Selling_Price,Reorder_Level,Status
P0001,IT  Product 001,IT Equipment,Networking,S040,17481.21,29889.82,19,Active
P0002,OFF Product 002,Office Supplies,Stationery,S008,4243.06,6192.19,18,Discontinued
P0003,HOM Product 003,Home Appliances,Cleaning,S041,1706.77,2347.22,18,Active
P0004,IT  Product 004,IT Equipment,Laptops,S005,24187.8,31582.6,24,Active
P0005,ACC Product 005,Accessories,Cases,S044,11418.46,12839.79,26,Active
P0006,HOM Product 006,Home Appliances,Cooling,S012,19963.98,36352.07,17,Active
P0007,FUR Product 007,Furniture,Cabinets,S003,16831.3,24681.17,46,Active
P0008,HOM Product 008,Home Appliances,Kitchen,S035,21996.75,38960.71,26,Active
P0009,HOM Product 009,Home Appliances,Cooling,S037,2074.06,3111.88,48,Active
P0010,ACC Product 010,Accessories,Cases,S022,772.9,1191.42,27,Active
P0011,OFF Product 011,Office Supplies,Paper,S025,29444.98,40268.41,45,Active
P0012,OFF Product 012,Office Supplies,Storage,S008,21246.44,26702.24,24,Active
P0013,IT  Product 013,IT Equipment,Laptops,S016,9589.83,11348.24,28,Active
P0014,FUR Product 014,Furniture,Chairs,S024,18435.5,23003.07,7,Active
P0015,ELE Product 015,Electronics,Tablets,S033,17769.09,30265.89,14,Active
P0017,ELE Product 017,Electronics,Audio,S047,23723.9,28869.22,7,Active
P0018,HOM Product 018,Home Appliances,Cooling,S020,30284.58,36479.6,7,Discontinued
P0019,ELE Product 019,Electronics,Tablets,S034,16404.63,18925.73,47,Active
P0020,ELE Product 020,Electronics,Audio,S014,26576.26,42159.55,25,Active
P0021,OFF Product 021,Office Supplies,Paper,S029,9769.54,13217.98,47,Active
P0022,FUR Product 022,Furniture,Chairs,S040,5613.46,6756.12,40,Active
P0023,ELE Product 023,Electronics,Mobiles,S018,19043.4,28965.72,14,Active
P0024,ACC Product 024,Accessories,Cables,S022,6094.07,8210.58,39,Active
P0025,ELE Product 025,Electronics,Mobiles,S004,1131.26,2012.98,11,Active
P0026,ELE Product 026,Electronics,Mobiles,S039,14995.13,18753.77,42,Active
P0027,ACC Product 027,Accessories,Adapters,S046,11017.93,18914.84,47,Active
P0028,ELE Product 028,Electronics,Tablets,S045,19924.49,23666.88,34,Active
P0029,HOM Product 029,Home Appliances,Cleaning,S030,23994.59,39314.12,35,Active
P0030,OFF Product 030,Office Supplies,Stationery,S024,30155.04,47354.5,30,Active
P0031,IT  Product 031,IT Equipment,Networking,S021,11641.84,20354.33,34,Active
P0032,ELE Product 032,Electronics,Mobiles,S030,16699.66,22987.95,15,Active
P0034,FUR Product 034,Furniture,Cabinets,S035,22772.87,38679.13,34,Active
P0035,ACC Product 035,Accessories,Adapters,S011,8441.51,10956.18,35,Active
