Purchase_ID,Purchase_Date,Product_ID,Supplier_ID,Quantity,Unit_Cost,Purchase_Value,Promised_Delivery_Date,Actual_Delivery_Date,Rejected_Qty,Warehouse_ID
PO000001,2026-05-19,P0085,S013,116,14819.97,1719116.99,2026-06-09,2026-06-13,5,WH-DEL
PO000002,2025-04-09,P0047,S025,87,11463.99,997366.98,2025-04-15,2025-04-22,2,WH-CHE
PO000003,2025-03-05,P0071,S010,82,26428.13,2167106.73,2025-03-20,2025-03-23,1,WH-HYD
PO000004,2026-08-28,P0021,S029,29,10323.62,299385.04,2026-09-27,2026-10-01,0,WH-KOL
PO000005,2025-05-22,P0046,S016,48,29977.66,1438927.8,2025-06-04,2025-06-16,2,WH-MUM
PO000006,2026-03-07,P0041,S043,106,26369.34,2795150.35,2026-03-17,2026-03-28,2,WH-KOL
PO000007,2026-04-20,P0025,S004,149,1264.61,188427.29,2026-04-25,2026-05-06,3,WH-KOL
PO000008,2026-07-05,P0011,S025,166,31066.45,5157030.73,2026-07-20,2026-07-23,12,WH-KOL
PO000009,2026-01-27,P0143,S049,36,21978.71,791233.73,2026-02-18,2026-02-18,1,WH-BLR
PO000010,2026-08-20,P0020,S014,66,28702.5,1894365.12,2026-09-04,2026-09-10,2,WH-HYD
PO000011,2025-10-09,P0123,S028,33,19244.86,635080.27,2025-10-17,2025-10-26,1,WH-MUM
PO000012,2025-01-13,P0125,S037,183,11304.98,2068811.62,2025-01-25,2025-02-06,6,WH-BLR
PO000013,2026-02-01,P0138,S049,154,17990.74,2770573.77,2026-02-06,2026-02-07,11,WH-BLR
PO000014,2025-02-07,P0066,S003,148,15526.49,2297920.36,2025-02-23,2025-02-23,8,WH-DEL
PO000015,2025-11-22,P0060,S019,196,35444.79,6947179.66,2025-12-15,2025-12-20,1,WH-CHE
PO000016,2025-02-02,P0120,S029,160,2456.65,393064.67,2025-02-07,2025-02-14,1,WH-CHE
PO000018,2025-05-18,P0055,S038,194,18946.02,3675527.83,2025-05-24,2025-05-24,13,WH-MUM
PO000019,2025-07-02,P0104,S008,178,2139.19,380774.96,2025-07-22,2025-08-03,4,WH-MUM
PO000020,2025-01-04,P0012,S008,191,19833.47,3788192.65,2025-01-24,2025-01-27,12,WH-BLR
PO000021,2025-03-20,P0018,S020,193,28049.08,5413473.03,2025-03-27,2025-03-25,1,WH-BLR
PO000022,2026-01-20,P0040,S006,33,18915.15,624200.04,2026-02-02,2026-02-05,2,WH-HYD
PO000024,2026-01-02,P0080,S006,44,4770.49,209901.57,2026-01-22,2026-01-27,1,WH-KOL
PO000025,2026-06-04,P0111,S031,140,21992.86,3079000.79,2026-07-04,2026-07-11,0,WH-KOL
PO000026,2025-11-25,P0065,S024,49,25474.27,1248238.99,2025-12-08,2025-12-17,3,WH-KOL
