Return_ID,Return_Date,Transaction_ID,Order_ID,Customer_ID,Product_ID,Return_Qty,Return_Value,Return_Reason,Return_Status
RET00001,2025-07-12,ST0001961,O001181,C00103,P0092,1,56457.54,Wrong Item,Pending
RET00002,2026-03-15,ST0002843,O000500,C00447,P0005,3,28489.99,Defective,Approved
RET00003,2026-07-30,ST0003441,O001525,C00049,P0035,5,52645.65,Defective,Approved
RET00004,2026-08-20,ST0003586,O000253,C00068,P0101,1,28871.37,Not Needed,Approved
RET00005,2026-03-21,ST0001906,O002211,C00221,P0129,1,16216.7,Late Delivery,Rejected
RET00006,2025-07-12,ST0000523,O002856,C00019,P0002,1,6497.13,Wrong Item,Approved
RET00007,2026-02-18,ST0001818,O001935,C00335,P0003,1,1751.09,Not Needed,Rejected
RET00008,2025-02-09,ST0000288,O001468,C00576,P0002,1,5378.6,Late Delivery,Approved
RET00009,2026-05-29,ST0000088,O002808,C00122,P0113,7,12336.88,Damaged,Rejected
RET00011,2026-03-08,ST0002615,O002309,C00185,P0037,4,120447.73,Defective,Rejected
RET00012,2026-02-26,ST0001453,O002237,C00232,P0067,2,75940.72,Wrong Item,Pending
RET00013,2026-03-16,ST0001691,O000970,C00346,P0040,1,27261.66,Defective,Pending
RET00014,2025-07-08,ST0003638,O002281,C00518,P0024,4,30301.09,Not Needed,Rejected
RET00015,2025-10-07,ST0001093,O002361,C00390,P0029,5,174030.95,Damaged,Approved
RET00016,2026-05-20,ST0000751,O001058,C00220,P0104,5,16542.32,Defective,Pending
RET00017,2025-04-24,ST0003301,O002995,C00493,P0107,1,5525.62,Late Delivery,Pending
RET00018,2026-02-07,ST0002088,O000919,C00174,P0136,1,39932.86,Damaged,Rejected
RET00019,2026-06-21,ST0002284,O002421,C00503,P0013,2,21854.12,Late Delivery,Rejected
RET00020,2025-02-15,ST0000610,O000802,C00384,P0140,5,123928.09,Wrong Item,Pending
RET00021,2025-06-15,ST0001923,O002978,C00139,P0148,1,16656.12,Damaged,Rejected
RET00023,2025-01-18,ST0001407,O001624,C00346,P0057,2,42807.85,Defective,Rejected
RET00024,2026-01-23,ST0000987,O002535,C00031,P0079,5,99137.29,Not Needed,Approved
RET00025,2026-01-17,ST0003846,O002612,C00414,P0092,1,59088.86,Defective,Rejected
RET00026,2026-03-01,ST0002898,O002979,C00113,P0052,5,41039.06,Damaged,Rejected
RET00027,2026-07-07,ST0000609,O001525,C00049,P0094,5,198466.6,Damaged,Approved
RET00028,2025-10-02,ST0003965,O002267,C00221,P0043,6,216190.85,Wrong Item,Pending
