Transaction_ID,Sales_Date,Order_ID,Customer_ID,Product_ID,Employee_ID,Region_ID,Quantity,Unit_Price,Discount_Pct,Gross_Revenue,Discount_Value,Sales_Value,Product_Cost,Profit
ST0000001,8/7/2025,O000902,C00478,P0122,E0024,R002,2,5842.9,0.15,11685.8,1752.87,9932.93,7080.95,2851.98
ST0000002,3/25/2026,O002373,C00572,P0007,E0018,R003,3,25628.68,0,76886.05,0,76886.05,50493.89,26392.17
ST0000003,7/14/2026,O001932,C00265,P0147,E0040,R005,1,48366.75,0.25,48366.75,12091.69,36275.07,28020.65,8254.42
ST0000004,2/4/2026,O001755,C00558,P0081,E0027,R008,5,44223.15,0.2,221115.73,44223.15,176892.58,133816.79,43075.79
ST0000005,7/12/2026,O002221,C00406,P0115,E0021,R001,1,38634.36,0.15,38634.36,5795.15,32839.21,21707.96,11131.25
ST0000006,10/8/2025,O001150,C00042,P0120,E0017,R002,8,3374.81,0.2,26998.5,5399.7,21598.8,20732.63,866.17
ST0000007,3/10/2025,O001063,C00290,P0019,E0038,R002,8,18775.68,0.05,150205.47,7510.27,142695.2,131237.05,11458.15
ST0000008,11/28/2025,O001286,C00362,P0052,E0007,R002,2,10001.16,0.25,20002.32,5000.58,15001.74,12782.67,2219.08
ST0000009,11/3/2025,O002231,C00424,P0139,E0015,R008,1,48792.73,0.2,48792.73,9758.55,39034.19,27831.42,11202.77
ST0000010,10/6/2025,O000861,C00236,P0119,E0017,R002,2,2905.04,0,5810.08,0,5810.08,3899.37,1910.71
ST0000011,12/13/2025,O001313,C00095,P0127,E0025,R004,1,9556.03,0.05,9556.03,477.8,9078.23,5588.77,3489.46
ST0000013,2/19/2025,O002253,C00075,P0054,E0016,R002,5,17172.58,0.1,85862.89,8586.29,77276.61,47557.28,29719.33
ST0000014,11/8/2025,O001684,C00042,P0053,E0009,R002,1,10677.72,0,10677.72,0,10677.72,6600.39,4077.33
ST0000015,2/14/2026,O002807,C00286,P0123,E0002,R002,7,22804.11,0,159628.78,0,159628.78,143696.13,15932.66
ST0000016,8/15/2025,O002432,C00434,P0103,E0039,R005,2,38239.76,0.2,76479.52,15295.9,61183.62,44374.46,16809.15
ST0000017,8/2/2026,O002736,C00021,P0008,E0006,R002,6,39888.86,0.15,239333.15,35899.97,203433.17,131980.52,71452.66
ST0000018,4/13/2025,O002240,C00224,P0026,E0038,R002,3,19557.18,0.2,58671.53,11734.31,46937.22,44985.38,1951.85
ST0000019,5/16/2025,O002212,C00237,P0134,E0006,R002,7,17201.5,0.25,120410.5,30102.63,90307.88,73060.19,17247.68
ST0000020,10/25/2025,O000403,C00229,P0131,E0018,R003,3,40673.07,0,122019.22,0,122019.22,102926.46,19092.76
ST0000021,7/31/2026,O002658,C00116,P0126,E0030,R003,1,45191.59,0.1,45191.59,4519.16,40672.43,29825.6,10846.83
ST0000022,5/20/2026,O002930,C00443,P0010,E0011,R008,2,1137.46,0.15,2274.92,341.24,1933.68,1545.8,387.89
ST0000023,3/31/2025,O000541,C00540,P0057,E0038,R002,8,29566.29,0.15,236530.32,35479.55,201050.78,146997.48,54053.3
ST0000024,1/30/2025,O002273,C00500,P0037,E0012,R004,7,30487.03,0,213409.18,0,213409.18,170319.55,43089.63
ST0000025,11/22/2025,O000918,C00187,P0071,E0006,R002,7,36852.85,0.15,257969.98,38695.5,219274.48,173121.2,46153.28
ST0000026,1/7/2026,O001861,C00061,P0012,E0009,R002,4,27273.26,0,109093.03,0,109093.03,84985.74,24107.29
ST0000027,4/21/2026,O001724,C00479,P0126,E0036,R004,6,43216.66,0.15,259299.96,38894.99,220404.96,178953.6,41451.36
ST0000028,7/9/2025,O001695,C00180,P0133,E0014,R005,4,5289.93,0,21159.71,0,21159.71,12072.93,9086.78
ST0000029,7/21/2025,O001386,C00166,P0091,E0006,R002,8,22320.07,0.1,178560.53,17856.05,160704.48,113667.81,47036.66
ST0000030,2/6/2026,O001812,C00568,P0061,E0017,R002,2,44499.81,0.25,88999.61,22249.9,66749.71,52519.91,14229.8
ST0000031,8/19/2026,O002696,C00215,P0056,E0010,R004,2,46269.5,0.05,92539,4626.95,87912.05,51255.01,36657.03
ST0000032,6/20/2026,O002590,C00171,P0011,E0037,R004,6,40026.71,0,240160.24,0,240160.24,176669.89,63490.35
ST0000033,12/30/2025,O001465,C00444,P0033,E0005,R005,2,30136.26,0.15,60272.52,9040.88,51231.65,40329.56,10902.09
ST0000034,8/27/2025,O002472,C00269,P0057,E0005,R005,5,29369.47,0.05,146847.37,7342.37,139505,91873.42,47631.58
ST0000035,11/21/2025,O001079,C00501,P0012,E0040,R005,5,26348.82,0.15,131744.08,19761.61,111982.47,106232.18,5750.29
