Target_ID,Employee_ID,Region_ID,Target_Month,Sales_Target
T01E0001,E0001,R002,2026-01-01,690538
T01E0002,E0002,R002,2026-01-01,715420
T01E0003,E0003,R001,2026-01-01,1023544
T01E0004,E0004,R008,2026-01-01,926000
T01E0005,E0005,R005,2026-01-01,272525
T01E0007,E0007,R002,2026-01-01,448244
T01E0009,E0009,R002,2026-01-01,316007
T01E0010,E0010,R004,2026-01-01,273107
T01E0011,E0011,R008,2026-01-01,1164141
T01E0012,E0012,R004,2026-01-01,1090946
T01E0013,E0013,R004,2026-01-01,493613
T01E0014,E0014,R005,2026-01-01,1125505
T01E0015,E0015,R008,2026-01-01,794861
T01E0016,E0016,R002,2026-01-01,925987
T01E0017,E0017,R002,2026-01-01,602192
T01E0018,E0018,R003,2026-01-01,681690
T01E0019,E0019,R002,2026-01-01,856815
T01E0020,E0020,R001,2026-01-01,609443
T01E0021,E0021,R001,2026-01-01,937614
T01E0022,E0022,R003,2026-01-01,927433
T01E0023,E0023,R004,2026-01-01,1075045
T01E0024,E0024,R002,2026-01-01,592157
T01E0025,E0025,R004,2026-01-01,759763
T01E0026,E0026,R006,2026-01-01,872180
T01E0027,E0027,R008,2026-01-01,948199
T01E0028,E0028,R006,2026-01-01,980714
T01E0029,E0029,R006,2026-01-01,805919
T01E0030,E0030,R003,2026-01-01,1132804
T01E0031,E0031,R001,2026-01-01,825111
T01E0032,E0032,R001,2026-01-01,716885
T01E0033,E0033,R008,2026-01-01,730255
T01E0034,E0034,R001,2026-01-01,568853
T01E0035,E0035,R002,2026-01-01,844806
T01E0036,E0036,R004,2026-01-01,388364
T01E0037,E0037,R004,2026-01-01,1191916
T01E0038,E0038,R002,2026-01-01,1077691
T01E0039,E0039,R005,2026-01-01,571383
T01E0040,E0040,R005,2026-01-01,430079
T01E0041,E0041,R002,2026-01-01,1077607
T02E0001,E0001,R002,2026-02-01,522637
T02E0002,E0002,R002,2026-02-01,487798
T02E0003,E0003,R001,2026-02-01,757765
T02E0004,E0004,R008,2026-02-01,639967
T02E0005,E0005,R005,2026-02-01,552143
T02E0006,E0006,R002,2026-02-01,1057141
T02E0007,E0007,R002,2026-02-01,1136585
T02E0009,E0009,R002,2026-02-01,299617
T02E0010,E0010,R004,2026-02-01,405544
T02E0011,E0011,R008,2026-02-01,620274
T02E0012,E0012,R004,2026-02-01,548196
T02E0013,E0013,R004,2026-02-01,728073
T02E0014,E0014,R005,2026-02-01,424444
T02E0015,E0015,R008,2026-02-01,898680
T02E0016,E0016,R002,2026-02-01,418600
T02E0017,E0017,R002,2026-02-01,996389
T02E0018,E0018,R003,2026-02-01,811320
T02E0019,E0019,R002,2026-02-01,549102
T02E0020,E0020,R001,2026-02-01,441134
T02E0021,E0021,R001,2026-02-01,433877
T02E0022,E0022,R003,2026-02-01,1130103
T02E0023,E0023,R004,2026-02-01,992508
T02E0024,E0024,R002,2026-02-01,976515
T02E0025,E0025,R004,2026-02-01,1198658
T02E0026,E0026,R006,2026-02-01,948724
T02E0027,E0027,R008,2026-02-01,1083048
T02E0028,E0028,R006,2026-02-01,410940
T02E0029,E0029,R006,2026-02-01,419087
T02E0030,E0030,R003,2026-02-01,499461
T02E0031,E0031,R001,2026-02-01,372596
T02E0032,E0032,R001,2026-02-01,293150
T02E0033,E0033,R008,2026-02-01,582006
T02E0034,E0034,R001,2026-02-01,852433
T02E0035,E0035,R002,2026-02-01,382617
T02E0036,E0036,R004,2026-02-01,712305
T02E0037,E0037,R004,2026-02-01,523056
T02E0038,E0038,R002,2026-02-01,637629
T02E0039,E0039,R005,2026-02-01,443458
T02E0040,E0040,R005,2026-02-01,465120
T02E0041,E0041,R002,2026-02-01,839810
T03E0001,E0001,R002,2026-03-01,991484
T03E0002,E0002,R002,2026-03-01,286374
T03E0003,E0003,R001,2026-03-01,947883
T03E0004,E0004,R008,2026-03-01,582339
T03E0005,E0005,R005,2026-03-01,610549
T03E0006,E0006,R002,2026-03-01,405130
T03E0007,E0007,R002,2026-03-01,641029
T03E0009,E0009,R002,2026-03-01,720211
T03E0010,E0010,R004,2026-03-01,816091
T03E0011,E0011,R008,2026-03-01,420495
T03E0012,E0012,R004,2026-03-01,809565
T03E0013,E0013,R004,2026-03-01,566208
T03E0014,E0014,R005,2026-03-01,377391
T03E0015,E0015,R008,2026-03-01,276135
T03E0016,E0016,R002,2026-03-01,674214
T03E0017,E0017,R002,2026-03-01,773676
T03E0018,E0018,R003,2026-03-01,1055849
T03E0019,E0019,R002,2026-03-01,402446
T03E0020,E0020,R001,2026-03-01,730290
T03E0021,E0021,R001,2026-03-01,585772
T03E0022,E0022,R003,2026-03-01,413633
T03E0023,E0023,R004,2026-03-01,254502
T03E0024,E0024,R002,2026-03-01,1024368
T03E0025,E0025,R004,2026-03-01,822675
T03E0026,E0026,R006,2026-03-01,782056
T03E0027,E0027,R008,2026-03-01,597372
T03E0028,E0028,R006,2026-03-01,928684
T03E0029,E0029,R006,2026-03-01,989719
T03E0030,E0030,R003,2026-03-01,559913
T03E0031,E0031,R001,2026-03-01,746931
T03E0032,E0032,R001,2026-03-01,1189500
T03E0033,E0033,R008,2026-03-01,553905
T03E0034,E0034,R001,2026-03-01,1040795
T03E0035,E0035,R002,2026-03-01,851596
T03E0036,E0036,R004,2026-03-01,949282
T03E0037,E0037,R004,2026-03-01,404228
T03E0038,E0038,R002,2026-03-01,1088416
T03E0039,E0039,R005,2026-03-01,842688
