Month,Actual_Revenue,Actual_Orders,Actual_Quantity,Previous_Month_Revenue,MoM_Growth_Pct,Moving_Average_3M,Target,Target_Achievement_Pct,Target_Gap
2025-01,28747796.22,129,1152,,,,,,
2025-02,15117138.51,81,698,28747796.22,-47.41461782213788,,,,
2025-03,18138522.52,105,836,15117138.51,19.986480960013374,,,,
2025-04,17880424.72,108,767,18138522.52,-1.4229262593765037,20667819.083333332,,,
2025-05,22796409.54,132,1004,17880424.72,27.493669177227464,17045361.916666668,,,
2025-06,20500046.38,121,954,22796409.54,-10.073354560377846,19605118.926666666,,,
2025-07,22949619.08,117,955,20500046.38,11.949108087822772,20392293.546666667,,,
2025-08,19860515.04,105,897,22949619.08,-13.460371735285461,22082025.0,,,
2025-09,17332826.34,105,840,19860515.04,-12.72720619233246,21103393.5,,,
2025-10,21891440.5,107,943,17332826.34,26.30046635544841,20047653.48666667,,,
2025-11,21457119.57,120,969,21891440.5,-1.9839760202166674,19694927.293333333,,,
2025-12,19482425.17,103,878,21457119.57,-9.202979894658798,20227128.803333335,,,
2026-01,24179282.74,123,1098,19482425.17,24.10817713408929,20943661.746666666,30465356.0,79.36648677271324,-6286073.260000002
2026-02,18370472.81,104,817,24179282.74,-24.023913333005677,21706275.826666668,26492510.0,69.34213787217594,-8122037.190000001
2026-03,17979698.84,110,816,18370472.81,-2.127185152182258,20677393.573333334,28440908.0,63.217738477266614,-10461209.16
2026-04,18639988.29,102,841,17979698.84,3.6724166287537177,20176484.796666667,27449241.0,67.90711732247897,-8809252.71
2026-05,19079669.88,109,895,18639988.29,2.3588082951526355,18330053.313333333,29208598.0,65.3221009786228,-10128928.120000001
2026-06,17759156.71,95,797,19079669.88,-6.921048311135654,18566452.336666666,28759249.0,61.75111425892936,-11000092.29
2026-07,21915898.34,113,873,17759156.71,23.406188130877744,18492938.293333333,28716678.0,76.31766578292934,-6800779.66
2026-08,21035938.580000002,118,907,21915898.34,-4.015166279512856,19584908.310000002,28600548.0,73.55082350170355,-7564609.419999998
