Customer_ID,Total_Spending,Complaint_Frequency
C00001,274075.05,2.0
C00002,34300.94,1.0
C00003,49000.06,4.0
C00004,503282.06,0.0
C00005,558841.5900000001,1.0
C00006,635954.03,4.0
C00007,770752.1,1.0
C00008,368834.43,4.0
C00009,481264.48,1.0
C00010,468628.37,1.0
C00011,2180231.9699999997,1.0
C00012,553528.23,1.0
C00014,884119.58,3.0
C00015,331651.77,1.0
C00016,737332.76,2.0
C00017,803456.52,0.0
C00018,644835.66,0.0
C00019,629379.05,3.0
C00020,185648.21,1.0
C00021,529171.27,0.0
C00022,1487825.81,1.0
C00023,745540.0,1.0
C00024,764439.78,0.0
C00025,122882.27,0.0
C00026,46811.03,1.0
C00027,661451.56,3.0
C00028,85687.48999999999,1.0
C00029,1195779.7,1.0
C00030,860878.78,0.0
C00031,1305120.29,1.0
C00032,472782.22,0.0
C00033,651215.36,1.0
C00034,418291.76,2.0
C00035,212405.47999999998,0.0
C00036,50979.96,2.0
C00037,176657.49,1.0
C00038,720076.08,0.0
C00039,1053899.55,1.0
C00040,504190.32999999996,1.0
C00041,754523.11,1.0
C00042,2497974.9,2.0
C00043,408521.19,2.0
C00044,406910.17000000004,1.0
C00045,1317362.58,1.0
C00046,756049.75,3.0
C00047,1126111.15,4.0
C00048,719998.4199999999,0.0
C00049,1713179.7,2.0
C00050,965069.56,0.0
C00051,680781.61,1.0
C00052,278834.8,0.0
C00053,471081.58,1.0
C00054,967276.7,0.0
C00055,523049.47,1.0
C00056,548525.6799999999,0.0
C00057,521336.08,0.0
C00058,277316.07,0.0
C00059,1458896.96,1.0
C00061,375937.94,0.0
C00062,117479.19,0.0
C00063,516341.56,1.0
C00064,180515.32,2.0
C00065,218949.89,0.0
C00066,1024861.96,1.0
C00067,1170387.41,1.0
C00068,589970.62,2.0
C00069,1023132.75,0.0
C00070,1448479.62,0.0
C00071,1342792.14,1.0
C00073,477007.97,1.0
C00074,556675.85,1.0
C00075,1063122.65,2.0
C00076,207030.94,0.0
C00077,390734.2,4.0
C00078,468132.51,0.0
C00079,502210.01999999996,1.0
C00080,1178582.54,2.0
C00081,307645.3,2.0
C00082,362759.55,3.0
C00083,417807.83,1.0
C00084,968986.0499999999,2.0
C00085,1126316.85,0.0
C00086,360042.25,1.0
C00087,749413.0900000001,1.0
C00088,887897.6900000001,2.0
C00089,1653018.47,1.0
C00090,374899.03,4.0
C00091,174819.22,2.0
C00092,1936366.46,0.0
C00093,955807.4199999999,1.0
C00094,868083.11,0.0
C00095,173236.81,2.0
C00096,428000.63,2.0
C00097,669539.39,1.0
C00098,931259.7,0.0
C00099,357126.03,1.0
C00100,777108.7300000001,4.0
C00101,458647.49,2.0
C00102,1624080.47,0.0
C00103,1330115.87,2.0
C00104,617101.81,1.0
C00105,1215039.03,1.0
C00106,716116.07,1.0
C00107,775797.03,2.0
C00108,122142.82,1.0
C00109,192760.41,0.0
C00110,1034552.65,1.0
C00111,824528.3799999999,2.0
C00112,586737.22,3.0
C00113,796395.76,2.0
C00115,290013.53,1.0
C00116,1138761.15,1.0
C00117,232962.24,4.0
C00118,535427.19,0.0
C00119,822703.41,2.0
C00120,482236.79000000004,3.0
C00121,137840.6,2.0
C00122,851649.29,1.0
C00123,519125.35,1.0
C00124,272476.43,1.0
C00125,1027008.3,2.0
C00126,1170128.8599999999,0.0
C00127,469455.39999999997,1.0
C00128,379057.05,3.0
C00129,383729.52999999997,1.0
C00130,651254.84,1.0
C00131,1194345.1300000001,1.0
