Sales_Month,Total_Sales,Total_Profit,Quantity
2025-01,28747796.22,7706930.4,1152
2025-02,15117138.51,3761049.43,698
2025-03,18138522.52,4626792.0200000005,836
2025-04,17880424.72,4752930.78,767
2025-05,22796409.54,6208373.08,1004
2025-06,20500046.38,5576684.3,954
2025-07,22949619.08,6566957.84,955
2025-08,19860515.04,5311836.94,897
2025-09,17332826.34,4378970.19,840
2025-10,21891440.5,6017200.76,943
2025-11,21457119.57,5513683.15,969
2025-12,19482425.17,5077886.73,878
2026-01,24179282.74,6140763.32,1098
2026-02,18370472.81,4590542.28,817
2026-03,17979698.84,4544881.81,816
2026-04,18639988.29,4512316.95,841
2026-05,19079669.88,4791482.36,895
2026-06,17759156.71,4930444.04,797
2026-07,21915898.34,6141813.69,873
2026-08,21035938.580000002,5664824.47,907
