Transaction_ID,Sales_Date,Order_ID,Customer_ID,Product_ID,Employee_ID,Region_ID,Quantity,Unit_Price,Discount_Pct,Gross_Revenue,Discount_Value,Sales_Value,Product_Cost,Profit
ST0000134,2026-01-25,O001081,C00468,P0150,E0002,R002,7,51062.55,0.05,357437.88,17871.89,339565.98,237571.34,101994.65
ST0000138,2025-06-04,O000951,C00394,P0092,E0013,R004,7,59273.94,0.0,414917.57,0.0,414917.57,233806.57,181111.0
ST0000139,2025-11-14,O001371,C00481,P0046,E0003,R001,7,55385.25,0.1,387696.77,38769.68,348927.09,211122.27,137804.82
ST0000177,2026-04-14,O000113,C00453,P0030,E0024,R002,7,48661.82,0.0,340632.72,0.0,340632.72,211085.27,129547.45
ST0000258,2026-01-20,O000986,C00570,P0060,E0033,R008,8,58720.04,0.05,469760.34,23488.02,446272.32,269000.61,177271.71
ST0000495,2025-05-11,O001072,C00027,P0045,E0036,R004,7,58498.67,0.1,409490.72,40949.07,368541.65,220846.64,147695.0
ST0000608,2025-01-22,O001646,C00418,P0098,E0021,R001,8,44340.62,0.0,354724.97,0.0,354724.97,222165.94,132559.03
ST0000738,2026-04-08,O001753,C00087,P0045,E0020,R001,7,59785.7,0.05,418499.9,20924.99,397574.9,220846.64,176728.26
ST0000780,2025-07-30,O002058,C00373,P0056,E0027,R008,8,48458.17,0.05,387665.4,19383.27,368282.13,205020.05,163262.08
ST0000891,2025-07-15,O000295,C00257,P0092,E0021,R001,7,56267.7,0.0,393873.93,0.0,393873.93,233806.57,160067.36
ST0000956,2026-04-26,O002123,C00092,P0056,E0028,R006,8,49170.73,0.05,393365.87,19668.29,373697.58,205020.05,168677.53
ST0000974,2026-08-13,O002326,C00158,P0106,E0028,R006,8,54031.99,0.0,432255.96,0.0,432255.96,273262.1,158993.86
ST0000980,2025-01-04,O001701,C00575,P0061,E0002,R002,8,44689.82,0.05,357518.58,17875.93,339642.65,210079.63,129563.02
ST0001084,2025-09-11,O002283,C00261,P0109,E0034,R001,8,44020.83,0.0,352166.66,0.0,352166.66,221695.23,130471.42
ST0001105,2025-01-31,O002790,C00307,P0147,E0035,R002,8,49467.14,0.0,395737.14,0.0,395737.14,224165.18,171571.97
ST0001148,2025-04-11,O000446,C00232,P0030,E0019,R002,8,45859.74,0.0,366877.9,0.0,366877.9,241240.31,125637.6
ST0001170,2026-08-08,O001421,C00247,P0045,E0016,R002,8,57961.17,0.0,463689.36,0.0,463689.36,252396.16,211293.2
