Product_ID,Product_Name,Total_Sales,Total_Profit,Quantity_Sold
P0092,ELE Product 092,8557946.02,3013390.24,166
P0060,HOM Product 060,6964768.44,2459008.29,134
P0034,FUR Product 034,6464570.91,2274363.68,184
P0030,OFF Product 030,6337328.4,2055312.99,142
P0106,FUR Product 106,6318411.21,1877902.17,130
P0147,ACC Product 147,6312846.7,2361935.4899999998,141
P0056,OFF Product 056,6161253.87,2342755.44,149
P0150,FUR Product 150,5836397.01,1424357.94,130
P0083,HOM Product 083,5771260.86,2070516.3,117
P0043,FUR Product 043,5461851.89,1649578.71,137
